,time,d2b,b2d
3204,8.040201005025125,19.58581155234353,24.60232159446071
3205,10.050251256281406,17.916942207030612,24.16126488520582
3206,12.060301507537687,16.402194519310175,23.56077584686847
3207,14.070351758793969,15.043064723963846,22.88050930841795
3208,16.08040201005025,13.825607606030385,22.167478953278668
3209,18.09045226130653,12.731696815187977,21.44805900194941
3210,20.100502512562812,11.743688964972135,20.73661556010257
3211,22.110552763819094,10.846022502634508,20.040689138933597
3212,24.120603015075375,10.025527006942854,19.363943656887898
3213,26.130653266331656,9.27124653856386,18.70783323714635
3214,28.140703517587937,8.566192480800813,18.076445702919916
3215,30.15075376884422,7.898936872376339,17.469602158982774
3216,32.1608040201005,7.277386600523208,16.87915830671901
3217,34.17085427135678,6.6960440175054545,16.304579402392612
3218,36.18090452261306,6.15027160265311,15.745122879089632
3219,38.19095477386934,5.63614005147448,15.199938235886282
3220,40.201005025125625,5.150302943871832,14.668129472302878
3221,42.211055276381906,4.689894635784525,14.148793820040627
3222,44.22110552763819,4.252447514218572,13.64104532112254
3223,46.23115577889447,3.835825014858356,13.144028660296186
3224,48.24120603015075,3.4381673161732893,12.656926720308338
3225,50.25125628140703,3.0578471729255163,12.178964109041901
3226,52.26130653266331,2.6934338484140428,11.709408128617635
3227,54.27135678391959,2.3436635226180744,11.247568152856491
3228,56.281407035175874,2.0074148924603636,10.792794050438552
3229,58.291457286432156,1.6836889501969372,10.344474074432373
3230,60.30150753768844,1.371592138379061,9.902032495413895
3231,62.31155778894472,1.0703222462877746,9.464927160120919
3232,64.321608040201,0.7791565429613427,9.03264709431949
3233,66.33165829145727,0.49744174387280937,8.604710226723824
3234,68.34170854271356,0.22458548827759622,8.180661283445707
3235,70.35175879396985,-0.0399509328349998,7.760069884925834
3236,72.36180904522612,-0.2966588085707097,7.342528866525292
3237,74.3718592964824,-0.5459873707331232,6.927652837851262
3238,76.38190954773869,-0.7883484268278235,6.515076993048944
3239,78.39195979899498,-1.0241203780085193,6.1044561837484155
3240,80.40201005025125,-1.2536517163511065,5.695464267434955
3241,82.41206030150752,-1.4772640795764262,5.287793746213415
3242,84.42211055276381,-1.6952549281579512,4.881155713848232
3243,86.4321608040201,-1.907899899015821,4.475280132176371
3244,88.44221105527637,-2.1154548812214387,4.069916461034477
3245,90.45226130653265,-2.3181578519290706,3.6648346680704096
3246,92.46231155778894,-2.5162305048085605,3.259826645283806
3247,94.47236180904522,-2.7098796983341074,2.8547080564476808
3248,96.4824120603015,-2.899298747196206,2.449320631565194
3249,98.49246231155777,-3.0846685766938755,2.0435349079789313
3250,100.50251256281406,-3.2661587571101665,1.6372533878225004
3251,102.51256281407035,-3.4439284326752957,1.230414030969344
3252,104.52261306532662,-3.618127157700447,0.8229939208759097
3253,106.5326633165829,-3.7888956507551463,0.41501281234034576
3254,108.54271356783919,-3.9411510818619586,0.006717255857094797
3255,110.55276381909547,-4.079302744420742,-0.4112932948429357
3256,112.56281407035175,-4.2151414565936465,-0.8423157453942758
3257,114.57286432160802,-4.348730437581304,-1.2871080778501087
3258,116.58291457286431,-4.480132083136059,-1.7465371359281454
3259,118.5929648241206,-4.60940777442597,-2.221590526340846
3260,120.60301507537687,-4.736617721061168,-2.7133904969502334
3261,122.61306532663315,-4.861820834455566,-3.2232099203049502
3262,124.62311557788944,-4.985074627968623,-3.752490408271409
